timeseries,airtemp,relativehumidity,uvradiation,impactatmcontrol,impactatm3wt,impactatm6wt,impactatm9wt,impactatm12wt,impactatm15wt,impactatm18wt
2021-12-01,23.37,100,0,40.54383,7.75731,7.43023,23.23373,12.61587667,8.451643333,12.07123667
2021-12-02,24.83,100,0,40.54383,7.75731,7.43023,23.23373,12.61587667,8.451643333,12.07123667
2021-12-03,24.05,100,0,40.54383,7.75731,7.43023,23.23373,12.61587667,8.451643333,12.07123667
2021-12-04,25.04,100,0,40.54383,7.75731,7.43023,23.23373,12.61587667,8.451643333,12.07123667
2021-12-05,23.51,89.2,0,40.54383,7.75731,7.43023,23.23373,12.61587667,8.451643333,12.07123667
2021-12-06,23.66,100,0,40.54383,7.75731,7.43023,23.23373,12.61587667,8.451643333,12.07123667
2021-12-07,24.82,100,0,40.54383,7.75731,7.43023,23.23373,12.61587667,8.451643333,12.07123667
2021-12-08,23.84,94.5,0,40.54383,7.75731,7.43023,23.23373,12.61587667,8.451643333,12.07123667
2021-12-09,22.89,90.7,0,40.54383,7.75731,7.43023,23.23373,12.61587667,8.451643333,12.07123667
2021-12-10,22.77,77.12,0,40.54383,7.75731,7.43023,23.23373,12.61587667,8.451643333,12.07123667
2021-12-11,21.2,75.53,0,40.54383,7.75731,7.43023,23.23373,12.61587667,8.451643333,12.07123667
2021-12-12,22.64,85.5,0,40.54383,7.75731,7.43023,23.23373,12.61587667,8.451643333,12.07123667
2021-12-13,22.71,88.6,0,40.54383,7.75731,7.43023,23.23373,12.61587667,8.451643333,12.07123667
2021-12-14,24.73,100,0,40.54383,7.75731,7.43023,23.23373,12.61587667,8.451643333,12.07123667
2021-12-15,24.41,100,0,40.54383,7.75731,7.43023,23.23373,12.61587667,8.451643333,12.07123667
2021-12-16,22.68,98.9,0,40.54383,7.75731,7.43023,23.23373,12.61587667,8.451643333,12.07123667
2021-12-17,22.88,74.19,0,40.54383,7.75731,7.43023,23.23373,12.61587667,8.451643333,12.07123667
2021-12-18,19.95,75.94,0,40.54383,7.75731,7.43023,23.23373,12.61587667,8.451643333,12.07123667
2021-12-19,19.89,57.86,0,40.54383,7.75731,7.43023,23.23373,12.61587667,8.451643333,12.07123667
2021-12-20,21.28,51.48,0,40.54383,7.75731,7.43023,23.23373,12.61587667,8.451643333,12.07123667
2021-12-21,21.56,55.61,0,40.54383,7.75731,7.43023,23.23373,12.61587667,8.451643333,12.07123667
